SiteId,Treatment,Crop,Year,Plant.date,Harvest.date,Notes,Grain_Yield,Grain_Yield_Error,Aboveground_biomass,Aboveground_biomass_Error,Harvest_Index,HIError,Total_N_uptake,Nuptake_Error,Shoots_Yield,Shoots_Yield_Error,ShootsC,ShootsC_SE,ShootsN,ShootsN_SE,GrainC,GrainC_SE,GrainN,GrainN_SE,Protein,Crude.Protein,Total_grain_nitrogen,Total_grain_carbon,Total_straw_nitrogen,Total_Straw_carbon,Straw_Yield,Straw_Yield_Error,Straw_res,Res_Straw_carbon,Res_Straw_nitrogen,CN_grain,CN_stem,CN_roots
datalibrarian.158,legume.0n,sorghum,2013,12/12/2012,6/18/2013,NA,2.52,0.22,8.38,0.78,0.31,0.02,46.91,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
datalibrarian.158,legume.70n,sorghum,2013,12/12/2012,6/18/2013,NA,5.29,0.22,14.96,0.73,0.36,0.01,118.94,7.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
datalibrarian.158,grass.0n,sorghum,2013,12/12/2012,6/18/2013,NA,0.94,0.12,4.48,0.34,0.21,0.03,25.11,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
datalibrarian.158,grass.100n,sorghum,2013,12/12/2012,6/18/2013,NA,5.2,0.11,13.68,0.53,0.38,0.01,98.52,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,cnt,wheat,2011,7/6/2011,11/29/2011,NA,4.4,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,rfr,wheat,2011,7/6/2011,11/29/2011,NA,5.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,conv,wheat,2011,7/6/2011,11/29/2011,NA,5.8,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,conv-dmpp,wheat,2011,7/6/2011,11/29/2011,NA,5.5,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,cnt,maize,2012,12/15/2011,6/20/2012,NA,2.6,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,rfr,maize,2012,12/15/2011,6/20/2012,NA,6.1,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,conv,maize,2012,12/15/2011,6/20/2012,NA,8.5,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deantoni,conv-dmpp,maize,2012,12/15/2011,6/20/2012,NA,8.4,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scheer.11,KT_50%_irrigation,wheat,2009,6/11/2009,10/26/2009,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scheer.11,KT_60%_irrigation,wheat,2009,6/11/2009,10/26/2009,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scheer.11,KT_85%_irrigation,wheat,2009,6/11/2009,10/26/2009,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
