Reference,SiteID,DB_version,Contact,license,Other repository/location,PrimaryPaper,SecondaryPaper,Type,Latitude,Longitude,Start_Date,End_Date,Measurement_method,Trt_#,Treatment,Treatment_Description,avgN_applied,N type,Sampled_days,Missing_days,PercGap,Envir_factors,Notes
datalibrarian.158,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.N2O.net.au/knb/metacat/datalibrarian.158.12/html,https://doi.org/10.1016/j.agee.2015.02.007,NA,cropland,-26.58,151.83,12/12/2012,9/19/2013,auto chamber,4,legume.70n,"Sorghum in legume ley pasture-cereal rotation, sorghum fertilised with a total of 70 Kg N ha-1",70,urea,282,0,0,"tavg, tmin, tmax, soil.temp, rain, rain.irrigation, WFPS, NO3, NH4, co2",soilN unit is kg N/ha
datalibrarian.158,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.N2O.net.au/knb/metacat/datalibrarian.158.12/html,https://doi.org/10.1016/j.agee.2015.02.007,NA,cropland,-26.58,151.83,12/12/2012,9/19/2013,auto chamber,4,legume.0n,"Sorghum in legume ley pasture-cereal rotation, no fertilisation",0,NA,282,0,0,"tavg, tmin, tmax, soil.temp, rain, rain.irrigation, WFPS, NO3, NH4, co2",NA
datalibrarian.158,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.N2O.net.au/knb/metacat/datalibrarian.158.12/html,https://doi.org/10.1016/j.agee.2015.02.007,NA,cropland,-26.58,151.83,12/12/2012,9/19/2013,auto chamber,4,grass.100n,"Sorghum in grass ley pasture-cereal rotation, sorghum fertilised with a total of 100 Kg N ha-1",100,urea,282,0,0,"tavg, tmin, tmax, soil.temp, rain, rain.irrigation, WFPS, NO3, NH4, co2",NA
datalibrarian.158,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.N2O.net.au/knb/metacat/datalibrarian.158.12/html,https://doi.org/10.1016/j.agee.2015.02.007,NA,cropland,-26.58,151.83,12/12/2012,9/19/2013,auto chamber,4,grass.0n,"Sorghum in grass ley pasture-cereal rotation, no fertilisation",0,NA,282,0,0,"tavg, tmin, tmax, soil.temp, rain, rain.irrigation, WFPS, NO3, NH4, co2",NA
deantoni,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.n2o.net.au/knb/metacat/deantoni.4.28/html,https://doi.org/10.1016/j.agee.2014.01.016,NA,cropland,-26.582,151.829,7/8/2011,6/20/2012,auto chamber,4,cnt,"control treatment, 0 kg N/ha applied",40,Urea,276,72,0.206303725,"tavg, tmin, tmax, rain, rain.irrigation, soilT, NO3, NO4, WFPS",this combines deantoni.4 and deantoni.8
deantoni,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.n2o.net.au/knb/metacat/deantoni.4.28/html,https://doi.org/10.1016/j.agee.2014.01.016,NA,cropland,-26.582,151.829,7/8/2011,6/20/2012,auto chamber,4,rfr,"sub-optimal N rate, 20 kg N/ha conv urea applied",120,Urea,273,75,0.214899713,"tavg, tmin, tmax, rain, rain.irrigation, soilT, NO3, NO4, WFPS",NA
deantoni,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.n2o.net.au/knb/metacat/deantoni.4.28/html,https://doi.org/10.1016/j.agee.2014.01.016,NA,cropland,-26.582,151.829,7/8/2011,6/20/2012,auto chamber,4,conv,"optimal N rate, 80 kg N/ha conv urea applied",240,Urea,278,70,0.200573066,"tavg, tmin, tmax, rain, rain.irrigation, soilT, NO3, NO4, WFPS",NA
deantoni,Kingaroy,1,Max.DeAntoni@des.qld.gov.au,CC-BY,http://www.n2o.net.au/knb/metacat/deantoni.4.28/html,https://doi.org/10.1016/j.agee.2014.01.016,NA,cropland,-26.582,151.829,7/8/2011,6/20/2012,auto chamber,4,conv-dmpp,"optimal N rate, 80 kg N/ha DMPP urea applied",240,Urea plus DMPP,275,73,0.209169054,"tavg, tmin, tmax, rain, rain.irrigation, soilT, NO3, NO4, WFPS",NA
scheer.11,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,http://www.n2o.net.au/knb/metacat/scheer.11.25/html,https://doi.org/10.1007/s11104-012-1197-4,http://dx.doi.org/10.1016/j.agee.2015.11.008,cropland,-27.48,151.81,6/12/2009,10/26/2009,auto chamber,3,KT_50%_irrigation,fully irrigated- crop irrigation is stimulated when fifty percent of the plants available water capacity is depleted,200,Urea,95,41,0.299270073,"fert, rain, rain.irrigat, WFPS",NA
scheer.11,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,http://www.n2o.net.au/knb/metacat/scheer.11.25/html,https://doi.org/10.1007/s11104-012-1197-4,http://dx.doi.org/10.1016/j.agee.2015.11.008,cropland,-27.48,151.81,6/12/2009,10/26/2009,auto chamber,3,KT_60%_irrigation,deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,200,Urea,92,44,0.321167883,"fert, rain, rain.irrigat, WFPS",NA
scheer.11,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,http://www.n2o.net.au/knb/metacat/scheer.11.25/html,https://doi.org/10.1007/s11104-012-1197-4,http://dx.doi.org/10.1016/j.agee.2015.11.008,cropland,-27.48,151.81,6/12/2009,10/26/2009,auto chamber,3,KT_85%_irrigation,deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,200,Urea,95,41,0.299270073,"fert, rain, rain.irrigat, WFPS",NA
