Reference,SiteID,Treatment,Treatment description,Latitude,Longitude,elevation_m,DataLevel,PubYear,StudyYear,Fertilizer_Type,Avg_Fert_N_Rate_kgNha,Land_Type,Country,Location,MeanPrec_mm,MeanTemp_c,Soil_Type_Pub,Soil_Type,Sand,Silt,Clay,soilC_perc,soilN_perc,pH,CEC,BD,Drainage,Precrop,Crop,Residues,soil_tillage,Irrigation,Liming,Study_Fertilizer_type,Fertilizer_additives,Appl_time,Appl_Mode,No_Appl,OMAD_applied,OMAD_Type,OMAD_Kg_N_ha,OMAD_CN,Total_kg_N_ha,N2OSampleMethod,Chamber_size_m3,chmbr_measurement_length_minutes,DM_crop_yield_t_ha,avg_Biomass_yield_t_ha
datalibrarian.158,Kingaroy,Legume.0N,"Sorghum in legume ley pasture-cereal rotation, no fertilisation",-26.58,151.83,441,1,2015,2012-2013,Urea,0,grassland,Australia,Queensland,776.2,23.05,NA,Clay,31,14,55,0.43,0.1278,5.12,NA,1.18,NA,legume,Sorghum in pasture,2.3,y,y,NA,NA,NA,Spring,NA,2,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,2.52
datalibrarian.158,Kingaroy,Legume.70N,"Sorghum in legume ley pasture-cereal rotation, sorghum fertilised with a total of 70 Kg N ha-1",-26.58,151.83,441,1,2015,2012-2013,Urea,70,grassland,Australia,Queensland,776.2,23.05,NA,Clay,31,14,55,0.43,0.1278,5.12,NA,1.18,NA,legume,Sorghum in pasture,2.3,y,y,NA,urea,urea,Spring,NA,0,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,5.29
datalibrarian.158,Kingaroy,Grass.0N,"Sorghum in grass ley pasture-cereal rotation, no fertilisation",-26.58,151.83,441,1,2015,2012-2013,Urea,0,grassland,Australia,Queensland,776.2,23.05,NA,Clay,31,14,55,0.56,9.25E-02,5.3,NA,1.18,NA,wheat,Sorghum in pasture,1.24,y,y,NA,NA,NA,Spring,NA,2,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,0.94
datalibrarian.158,Kingaroy,Grass.100N,"Sorghum in grass ley pasture-cereal rotation, sorghum fertilised with a total of 100 Kg N ha-1",-26.58,151.83,441,1,2015,2012-2013,Urea,100,grassland,Australia,Queensland,776.2,23.05,NA,Clay,31,14,55,0.56,9.25E-02,5.3,NA,1.18,NA,wheat,Sorghum in pasture,1.24,y,y,NA,urea,urea,Spring,NA,0,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,5.2
deantoni,Kingaroy,CNT,"control treatment, 0 kg N/ha applied",-26.58,151.83,441,1,2014,2011-2012,NA/Urea,20,cropland,Australia,Queensland,779.1,23.05,sub-tropical Ferrosols,Clay,33,17,50,0.55,9.20E-02,5.5,14.14,1.23,NA,mungbean,wheat-maize,5.3,y,y,NA,urea,urea,summer,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,NA,NA,3.505
deantoni,Kingaroy,RFR,"sub-optimal N rate, 20 kg N/ha conv urea applied",-26.58,151.83,441,1,2014,2011-2012,Urea,60,cropland,Australia,Queensland,779.1,23.05,sub-tropical Ferrosols,Clay,33,17,50,0.55,9.20E-02,5.5,14.14,1.23,NA,mungbean,wheat-maize,5.3,y,y,NA,urea,urea,summer,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,NA,NA,5.59
deantoni,Kingaroy,CONV,"optimal N rate, 80 kg N/ha conv urea applied",-26.58,151.83,441,1,2014,2011-2012,Urea,120,cropland,Australia,Queensland,779.1,23.05,sub-tropical Ferrosols,Clay,33,17,50,0.55,9.20E-02,5.5,14.14,1.23,NA,mungbean,wheat-maize,5.3,y,y,NA,urea,urea,winter,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,NA,NA,7.15
deantoni,Kingaroy,CONV-DMPP,"optimal N rate, 80 kg N/ha DMPP urea applied",-26.58,151.83,441,1,2014,2011-2012,DMPP,120,cropland,Australia,Queensland,779.1,23.05,sub-tropical Ferrosols,Clay,33,17,50,0.55,9.20E-02,5.5,14.14,1.23,NA,mungbean,wheat-maize,5.3,y,y,NA,Urea plus DMPP,Urea plus DMPP,winter,NA,NA,yes/no,NA,NA,NA,NA,auto chamber,0.25,NA,NA,6.94
scheer.11,Kingsthorpe,KT_50%_irrigation,HI - KT_50%_irrigation - fully irrigated- crop irrigation is stimulated when fifty percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2012,2009,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,16.1,1.5,7.3,NA,0.9,NA,wheat,winter wheat,NA,n,y,NA,Urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,3.1,NA
scheer.11,Kingsthorpe,KT_60%_irrigation,MI - KT_60%_irrigation - deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2012,2009,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,15,1.7,7.2,NA,0.9,NA,wheat,winter wheat,NA,n,y,NA,Urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,1.9,NA
scheer.11,Kingsthorpe,KT_85%_irrigation,LI - KT_85%_irrigation - deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2012,2009,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,15.5,1.8,7.2,NA,0.9,NA,wheat,winter wheat,NA,n,y,NA,Urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,1.6,NA
scheer.14,Kingsthorpe,KT_50%_irrigation,HI - KT_50%_irrigation - fully irrigated- crop irrigation is stimulated when fifty percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2013,2009-2010,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,16.1,1.5,7.3,NA,0.9,NA,NA,cotton,NA,n,y,NA,urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,1.56,NA
scheer.14,Kingsthorpe,KT_60%_irrigation,MI - KT_60%_irrigation - deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2013,2009-2010,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,15,1.7,7.2,NA,0.9,NA,NA,cotton,NA,n,y,NA,urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,1.07,NA
scheer.14,Kingsthorpe,KT_85%_irrigation,LI - KT_85%_irrigation - deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2013,2009-2010,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,15.5,1.8,7.2,NA,0.9,NA,NA,cotton,NA,n,y,NA,urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,0.73,NA
scheer.inhib,Kingsthorpe,Entec,Entec- urea + DMPP,-27.31,151.47,431,1,2016,2012-2013,urea and DMPP,170,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,DMPP,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,6.7,NA
scheer.inhib,Kingsthorpe,eNtrench,eNtrench - urea + Nitrapyrin,-27.31,151.47,431,1,2016,2012-2013,urea and Nitrapyrin,170,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,Nitrapyin,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,6.1,NA
