ExperimentID,ExperimentName,SiteID,PubID
1,barton.52,1,1
2,barton.79,2,2
3,bel.18,3,3
4,china_cs,4,4
5,china_gh,5,4
6,china_jx,6,4
7,datalibrarian.137,7,5
8,datalibrarian.158,8,6
9,De_Rosa_2018,9,7
10,deantoni,10,8
11,dougherty.6,11,9
12,dougherty.8,12,9
13,fogarty.8,13,10
14,francisclar,14,11
15,fuchs.chamau,15,12
16,Gelfand_2011,16,13
17,gelfand_2016,17,14
18,guangdi.76.auto,18,15
19,hoeglwald,19,16
20,kelly.24.27,20,17
21,kelly.30.33,21,18
22,kelly.38,21,19
23,kelly.52,21,20
24,Mumford_2019,22,21
25,Oates_KBS_2015,17,22
26,quayle.10,23,23
27,quayle.27,24,24
28,quayle.33,25,25
29,quayle.39,26,26
30,Rowlings.34,27,27
31,Ruan_2013,28,28
32,Ruan_2016,17,29
33,Ruan_snow_2016,28,30
34,scheer.11,29,31
35,scheer.14,29,32
36,Tgas_Manitoba,30,33
37,vanDelden_2018,31,34
38,wagnerriddle,32,35
39,scheer.inhib,33,36
