PubID,PubTitle,LeadAuthor,Citation,PubYear,Link
1,Influence of crop rotation and liming on greenhouse gas emissions from a semi-arid soil,Barton,"Barton, L., Murphy, D. V., & Butterbach-Bahl, K. (2013). Influence of crop rotation and liming on greenhouse gas emissions from a semi-arid soil. Agriculture, Ecosystems & Environment, 167, 23–32. https://doi.org/10.1016/j.agee.2013.01.003",2013,https://doi.org/10.1016/j.agee.2013.01.003
2,Incorporating organic matter alters soil greenhouse gas emissions and increases grain yield in a semi-arid climate,Barton,"Barton, L., Hoyle, F. C., Stefanova, K. T., & Murphy, D. V. (2016). Incorporating organic matter alters soil greenhouse gas emissions and increases grain yield in a semi-arid climate. Agriculture, Ecosystems & Environment, 231, 320–330. https://doi.org/10.1016/j.agee.2016.07.004",2016,https://doi.org/10.1016/j.agee.2016.07.004
3,"Comparing N2O emissions from different pasture termination strategies, Hamilton, Victoria",Belyaeva,"Belyaeva. Comparing N2O emissions from different pasture termination strategies, Hamilton, Victoria. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/bel.18/html",,http://www.n2o.net.au/knb/metacat/bel.18/html
4,Can biochar amendment be an ecological engineering technology to depress N2O emission in rice paddies?—A cross site field experiment from South China,Liu,"Liu, X.-y., Qu, J.-j., Li, L.-q., Zhang, A.-f., Jufeng, Z., Zheng, J.-w., & Pan, G.-x. (2012). Can biochar amendment be an ecological engineering technology to depress N2O emission in rice paddies?—A cross site field experiment from South China. Ecological Engineering, 42, 168–173. https://doi.org/10.1016/j.ecoleng.2012.01.016",2012,https://doi.org/10.1016/j.ecoleng.2012.01.016
5,"Tamworth N rate trial. Tamworth, New South Wales, 2012-2013",,"Tamworth N rate trial. Tamworth, New South Wales, 2012-2013. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/datalibrarian.137/html",,http://www.n2o.net.au/knb/metacat/datalibrarian.137/html
6,Legume pastures can reduce N2O emissions intensity in subtropical cereal cropping systems,De Antoni Migliorati,"De Antoni Migliorati, M., Bell, M., Grace, P. R., Scheer, C., Rowlings, D. W., & Liu, S. (2015). Legume pastures can reduce N2O emissions intensity in subtropical cereal cropping systems. Agriculture, Ecosystems & Environment, 204, 27–39. https://doi.org/10.1016/j.agee.2015.02.007",2015,https://doi.org/10.1016/j.agee.2015.02.007
7,N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation,De Rosa,"De Rosa, D., Rowlings, D. W., Biala, J., Scheer, C., Basso, B., & Grace, P. R. (2018). N2O and CO2 emissions following repeated application of organic and mineral N fertiliser from a vegetable crop rotation. Science of the Total Environment, 637-638, 813–824. https://doi.org/10.1016/j.scitotenv.2018.05.046",2018,https://doi.org/10.1016/j.scitotenv.2018.05.046
8,Influence of different nitrogen rates and DMPP nitrification inhibitor on annual N2O emissions from a subtropical wheat–maize cropping system,De Antoni Migliorati,"De Antoni Migliorati, M., Scheer, C., Grace, P. R., Rowlings, D. W., Bell, M., & McGree, J. (2014). Influence of different nitrogen rates and DMPP nitrification inhibitor on annual N2O emissions from a subtropical wheat–maize cropping system. Agriculture, Ecosystems & Environment, 186, 33–43. https://doi.org/10.1016/j.agee.2014.01.016",2014,https://doi.org/10.1016/j.agee.2014.01.016
9,"Nitrification (DMPP) and urease (NBPT) inhibitors had no effect on pasture yield, nitrous oxide emissions, or nitrate leaching under irrigation in a hot-dry climate",Dougherty,"Dougherty, W. J., Collins, D., Van Zwieten, L., & Rowlings, D. W. (2016). Nitrification (DMPP) and urease (NBPT) inhibitors had no effect on pasture yield, nitrous oxide emissions, or nitrate leaching under irrigation in a hot-dry climate. Soil Research, 54(5), 675–683. https://doi.org/10.1071/sr15330",2016,https://doi.org/10.1071/sr15330
10,"Decreasing Nitrous Oxide Emissions In High Rainfall Cropping Systems. Hamilton, Victoria, 2009 - 2012 [Theme 1: Inhibitors for reducing emissions]",Officer,"Officer, Sally. Decreasing Nitrous Oxide Emissions In High Rainfall Cropping Systems. Hamilton, Victoria, 2009 - 2012 [Theme 1: Inhibitors for reducing emissions]. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/fogarty.8.26/html",,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html
