SiteID,Latitude,Longitude,MAP,MAT,Gracenet,SiteName
1,-30.8374,116.7193,374.0,19.0,,Wongan Hills
2,-29.987,116.5687,291.0,19.0,,Buntine
3,0.0,0.0,,,,bel.18
4,28.08,104.1,1500.0,17.1,,Changsha
5,31.03,104.1,807.0,16.5,,Guanghan
6,28.15,116.2,1400.0,17.7,,Jinxian
7,0.0,0.0,,,,datalibrarian.137
8,-26.58,151.83,776.2,23.05,,Kingaroy
9,0.0,0.0,,,,De_Rosa_2018
10,-26.582,151.829,779.1,23.05,,Kingaroy
11,-34.1,150.7,788.0,,,Nearby Sydney
12,-34.0544,150.6958,,,,dougherty.8
13,-37.73,142.02,,,,Hamilton
14,47.12,8.24,,,,FrancisClar
15,47.12,8.24,1151.0,9.8,,Fuchs.Chamau
16,42.24,-85.24,,,,KBS_CRP1
17,42.24,-85.24,1027.0,10.1,,KBS
18,0.0,0.0,,,,guangdi.76.auto
19,48.5,11.17,,,,Hoeglwald
20,-38.14,142.55,,,,Terang
21,-38.24,142.92,,,,Terang
22,0.0,0.0,,,,Mumford_2019
23,-34.3,146.03,,,,Griffith
24,-34.32,146.078,,17.35,,"Griffith, New South Wales"
25,-34.48,145.95,,17.35,,Willbriggie
26,-34.324,146.068,,13.1,,"Griffith, New South Wales"
27,0.0,0.0,,,,Rowlings.34
28,42.26,-85.19,890.0,9.7,,KBS
29,-27.48,151.81,630.0,21.8,,Kingsthorpe
30,49.64,-97.16,461.0,3.1,,Tgas_Glenlea_tillage
31,0.0,0.0,,,,vanDelden_2018
32,43.38,-80.24,,,,Elora Research Station
33,-27.31,151.47,630.0,21.8,,Kingsthorpe
