SiteName,TreatmentName,Latitude,Longitude,ExperimentName,FluxInstrument,TreatmentDescription,Citation,Management,Sand,Silt,Clay,N2O_Measurements
Kingaroy,legume.70n,-26.58,151.83,datalibrarian.158,auto chamber,"Sorghum in legume ley pasture-cereal rotation, sorghum fertilised with a total of 70 Kg N ha-1",https://doi.org/10.1016/j.agee.2015.02.007,Conventional,31.0,14.0,55.0,282
Kingaroy,legume.0n,-26.58,151.83,datalibrarian.158,auto chamber,"Sorghum in legume ley pasture-cereal rotation, no fertilisation",https://doi.org/10.1016/j.agee.2015.02.007,Zero Input,31.0,14.0,55.0,282
Kingaroy,grass.100n,-26.58,151.83,datalibrarian.158,auto chamber,"Sorghum in grass ley pasture-cereal rotation, sorghum fertilised with a total of 100 Kg N ha-1",https://doi.org/10.1016/j.agee.2015.02.007,Conventional,31.0,14.0,55.0,282
Kingaroy,grass.0n,-26.58,151.83,datalibrarian.158,auto chamber,"Sorghum in grass ley pasture-cereal rotation, no fertilisation",https://doi.org/10.1016/j.agee.2015.02.007,Zero Input,31.0,14.0,55.0,282
Kingaroy,cnt,-26.582,151.829,deantoni,auto chamber,"control treatment, 0 kg N/ha applied",https://doi.org/10.1016/j.agee.2014.01.016,Conventional,33.0,17.0,50.0,276
Kingaroy,rfr,-26.582,151.829,deantoni,auto chamber,"sub-optimal N rate, 20 kg N/ha conv urea applied",https://doi.org/10.1016/j.agee.2014.01.016,Conventional,33.0,17.0,50.0,273
Kingaroy,conv,-26.582,151.829,deantoni,auto chamber,"optimal N rate, 80 kg N/ha conv urea applied",https://doi.org/10.1016/j.agee.2014.01.016,Conventional,33.0,17.0,50.0,278
Kingaroy,conv-dmpp,-26.582,151.829,deantoni,auto chamber,"optimal N rate, 80 kg N/ha DMPP urea applied",https://doi.org/10.1016/j.agee.2014.01.016,Conventional,33.0,17.0,50.0,275
Kingsthorpe,KT_50%_irrigation,-27.48,151.81,scheer.11,auto chamber,fully irrigated- crop irrigation is stimulated when fifty percent of the plants available water capacity is depleted,https://doi.org/10.1007/s11104-012-1197-4,Conventional,,,,95
Kingsthorpe,KT_60%_irrigation,-27.48,151.81,scheer.11,auto chamber,deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,https://doi.org/10.1007/s11104-012-1197-4,Conventional,,,,92
Kingsthorpe,KT_85%_irrigation,-27.48,151.81,scheer.11,auto chamber,deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,https://doi.org/10.1007/s11104-012-1197-4,Conventional,,,,95
Kingsthorpe,KT_50%_irrigation,-27.48,151.81,scheer.14,auto chamber,fully irrigated- crop irrigation is stimulated when fifty percent of the plants available water capacity is depleted,https://doi.org/10.1007/s10705-012-9547-4,Conventional,,,,155
Kingsthorpe,KT_60%_irrigation,-27.48,151.81,scheer.14,auto chamber,deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,https://doi.org/10.1007/s10705-012-9547-4,Conventional,,,,156
Kingsthorpe,KT_85%_irrigation,-27.48,151.81,scheer.14,auto chamber,deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,https://doi.org/10.1007/s10705-012-9547-4,Conventional,,,,154
Kingsthorpe,Entec,-27.31,151.47,scheer.inhib,auto chamber,urea + DMPP,https://doi.org/10.1071/SR15332,Conventional,,,,341
Kingsthorpe,eNtrench,-27.31,151.47,scheer.inhib,auto chamber,urea + Nitrapyrin,https://doi.org/10.1071/SR15332,Conventional,,,,341
Kingsthorpe,Poly,-27.31,151.47,scheer.inhib,auto chamber,PCU_polymer-coated urea,https://doi.org/10.1071/SR15332,Conventional,,,,341
Kingsthorpe,Urea,-27.31,151.47,scheer.inhib,auto chamber,urea,https://doi.org/10.1071/SR15332,Conventional,,,,341
Kingsthorpe,zeroN,-27.31,151.47,scheer.inhib,auto chamber,control - 0N,https://doi.org/10.1071/SR15332,Zero Input,,,,341
Terang,t3,-38.14,142.55,kelly.24.27,auto chamber,urine @ 1000 kg N/ha applied 11 September 2009,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,Organic,53.0,24.0,16.0,258
Terang,t4,-38.14,142.55,kelly.24.27,auto chamber,urine @ 1000 kg N/ha applied 11 September 2009 plus DCD @ 10 kg a.i./ha applied 14 August 2009,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,Organic,53.0,24.0,16.0,258
Terang,t5,-38.14,142.55,kelly.24.27,auto chamber,urine @ 1000 kg N/ha applied 14 August 2009,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,Organic,53.0,24.0,16.0,258
Terang,t6,-38.14,142.55,kelly.24.27,auto chamber,urine @ 1000 kg N/ha applied 14 August 2009 plus DCD @ 10 kg a.i./ha applied 14 August 2009,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,Organic,53.0,24.0,16.0,258
