SiteId,Treatment,N applied,N applications,N type,StartYr,EndYr,Annual.n2o,cumulative.n2o,Cumulative.start,Cumulative.end,crop.n2o,crop,Sample.method,Sample.number,sample.period,StartDate,EndDate,gapfilling.method,gapfilling.method.notes
datalibrarian.158,Legume.70N,70,70,20 Urea plus 50 banded urea,2012,2013,NA,0.68,NA,NA,NA,sorghum,chamber,NA,281,12/12/2012,9/19/2013,not needed,282
datalibrarian.158,Legume.0N,0,0,NA,2012,2013,NA,0.24,NA,NA,NA,sorghum,chamber,NA,281,12/12/2012,9/19/2013,not needed,282
datalibrarian.158,Grass.100N,100,100,20 Urea plus 80 banded urea,2012,2013,NA,0.27,NA,NA,NA,sorghum,chamber,NA,281,12/12/2012,9/19/2013,not needed,282
datalibrarian.158,Grass.0N,0,0,NA,2012,2013,NA,1.43,NA,NA,NA,sorghum,chamber,NA,281,12/12/2012,9/19/2013,not needed,282
deantoni,CNT,40,NA,NA/Urea,2011,2012,NA,0.25,NA,NA,NA,wheat-maize,auto chamber,NA,348,7/8/2011,6/20/2012,NA,276
deantoni,RFR,120,NA,Urea,2011,2012,NA,0.19,NA,NA,NA,wheat-maize,auto chamber,NA,348,7/8/2011,6/20/2012,NA,273
deantoni,CONV,240,NA,Urea,2011,2012,NA,1.61,NA,NA,NA,wheat-maize,auto chamber,NA,348,7/8/2011,6/20/2012,NA,278
deantoni,CONV-DMPP,240,NA,Urea plus DMPP,2011,2012,NA,0.5,NA,NA,NA,wheat-maize,auto chamber,NA,348,7/8/2011,6/20/2012,NA,275
scheer.11,KT_50%_irrigation,200,NA,Urea,2009,2009,NA,5.5,NA,NA,NA,winter wheat,auto chamber,NA,136,6/12/2009,10/26/2009,linear,95
scheer.11,KT_60%_irrigation,200,NA,Urea,2009,2009,NA,3.2,NA,NA,NA,winter wheat,auto chamber,NA,136,6/12/2009,10/26/2009,linear,92
scheer.11,KT_85%_irrigation,200,NA,Urea,2009,2009,NA,3.3,NA,NA,NA,winter wheat,auto chamber,NA,136,6/12/2009,10/26/2009,linear,95
scheer.14,KT_50%_irrigation,200,NA,urea,2009,2010,NA,4.64,NA,NA,NA,cotton,auto chamber,NA,184,11/17/2009,5/20/2010,linear,155
scheer.14,KT_60%_irrigation,200,NA,urea,2009,2010,NA,6.04,NA,NA,NA,cotton,auto chamber,NA,184,11/17/2009,5/20/2010,linear,156
scheer.14,KT_85%_irrigation,200,NA,urea,2009,2010,NA,4.55,NA,NA,NA,cotton,auto chamber,NA,184,11/17/2009,5/20/2010,linear,154
scheer.inhib,Entec,170,NA,urea and DMPP,2012,2013,NA,0.4,NA,NA,NA,sorghum,auto chamber,NA,371,11/1/2012,11/7/2013,NA,341
scheer.inhib,eNtrench,170,NA,urea and Nitrapyrin,2012,2013,NA,1.58,NA,NA,NA,sorghum,auto chamber,NA,371,11/1/2012,11/7/2013,NA,341
